@relation R_data_frame

@attribute id {11_balance-scale,12_mfeat-factors,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1464_blood-transfusion-service-center,1465_breast-tissue,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1498_sa-heart,1499_seeds,14_mfeat-fourier,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1512_heart-long-beach,1514_micro-mass,1523_vertebra-column,1526_wall-robot-navigation-v3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,15_breast-w,164_molecular-biology-promoters,173_solar-flare,187_wine,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,307_vowel,30_page-blocks,310_mammography,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,35_dermatology,36_segment,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,448_analcatdata_boxing1,450_analcatdata_lawsuit,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,469_analcatdata_dmft,475_analcatdata_germangss,48_tae,49_heart-c,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,59_ionosphere,61_iris,8_liver-disorders}
@attribute tree_time numeric
@attribute naive_bayes_time numeric
@attribute stump_time numeric
@attribute nn_time numeric
@attribute simple_time numeric
@attribute statistical_time numeric
@attribute inftheo_time numeric
@attribute total_time numeric
@attribute J48.defaults.perf numeric
@attribute J48.irace.perf numeric
@attribute CART.defaults.perf numeric
@attribute CART.irace.perf numeric

@data
1498_sa-heart,188.340088,2411.316162,1886.994873,1439.986816,49.615723,3073.590088,2221.064941,11786.789307,0.649509,0.646873,0.643778,0.632938
1499_seeds,268.547607,1478.05957,2545.760986,1765.96167,159.927734,2463.549561,1429.094727,10830.162842,0.916508,0.911429,0.898889,0.916984
1501_semeion,1224.161865,39759.937744,14566.83667,4288.158691,43.866943,1698026.126953,17083.352295,1779544.178711,0.756054,0.754593,0.618812,0.755566
31_credit-g,43.576416,522.849609,265.875,440.830811,5.049072,1510.589355,338.154297,3276.689209,0.623,0.634349,0.649746,0.643667
53_heart-statlog,10.250977,124.986084,108.183105,202.293701,3.778076,298.593994,138.606934,939.376953,0.778083,0.804167,0.79925,0.787556
36_segment,128.037109,1497.518066,325.584717,611.581299,4.597168,3404.558105,1505.998291,7614.768799,0.962182,0.961848,0.918066,0.953871
40734_satellite_image_v2,967.931152,14240.615234,2735.400635,2835.230957,67.582031,53993.584229,29598.652832,109459.984131,0.833418,0.833306,0.789343,0.834783
54_vehicle,33.105225,562.47583,211.674072,340.325928,4.940186,1499.858154,405.849854,3148.052002,0.727064,0.72489,0.686933,0.712032
1504_steel-plates-fault,158.977051,5665.462646,1442.809082,1477.111328,13.953613,6605.507324,2965.741699,18639.814697,1,1,1,1
48_tae,7.877197,49.003906,53.855957,170.291016,2.536133,62.418213,52.920166,434.839844,0.440648,0.428241,0.405833,0.41713
40499_texture,1254.490479,13588.610352,3104.446777,1766.048828,42.368896,68597.80542,18818.702148,110192.88501,0.930731,0.931504,0.811109,0.925676
1506_thoracic-surgery,118.115723,3022.398193,3084.402344,1118.453369,80.64209,9129.463135,790.395752,18458.555908,0.497863,0.506804,0.49247,0.524036
40474_thyroid-allbp,623.713379,8789.384033,2539.577148,1474.47876,69.619873,32454.279541,5006.304443,51779.708252,0.455623,0.450992,0.333102,0.445691
40475_thyroid-allhyper,510.993164,11669.676758,2816.134766,1479.880859,23.275635,26508.592529,3252.374268,46926.592285,0.455623,0.450992,0.333102,0.445691
1508_user-knowledge,321.986328,2154.495605,1650.430664,3068.770996,79.842041,2263.485352,1024.621826,11299.879883,0.781469,0.767135,0.768985,0.761405
1523_vertebra-column,296.401855,1556.423096,1767.701416,1731.317871,92.660645,1561.799805,1105.339355,8744.275635,0.760889,0.766074,0.779,0.768556
187_wine,10.666016,85.550293,104.319092,176.719971,3.589844,392.952881,154.611328,972.291992,0.932823,0.930442,0.882892,0.906664
40733_yeast_v7,305.055176,4781.317383,2398.871094,3231.14917,48.04248,4214.813232,2416.999268,17901.406738,0.621878,0.639269,0.636437,0.634751
